CourtID,CourtName,Location,CourtType
CRT001,1st Additional Chief Metropolitan Magistrate,Bengaluru,Magistrate Court
CRT002,City Civil & Sessions Court,Bengaluru,Sessions Court
CRT003,Principal District & Sessions Court,Mysuru,Sessions Court
CRT004,Principal District & Sessions Court,Mangaluru,Sessions Court
CRT005,Principal District & Sessions Court,Belagavi,Sessions Court
CRT006,Principal District & Sessions Court,Hubballi-Dharwad,Sessions Court
CRT007,Principal District & Sessions Court,Kalaburagi,Sessions Court
CRT008,Principal District & Sessions Court,Shivamogga,Sessions Court
CRT009,Principal District & Sessions Court,Ballari,Sessions Court
CRT010,High Court of Karnataka,Bengaluru,High Court
