RankID,RankName,RankCode,RankLevel,IsActive
R001,Director General of Police,DGP,1,true
R002,Additional Director General of Police,ADGP,2,true
R003,Inspector General of Police,IGP,3,true
R004,Deputy Inspector General,DIG,4,true
R005,Superintendent of Police,SP,5,true
R006,Deputy Superintendent of Police,DSP,6,true
R007,Assistant Commissioner of Police,ACP,7,true
R008,Inspector,PI,8,true
R009,Sub Inspector,PSI,9,true
R010,Assistant Sub Inspector,ASI,10,true
R011,Head Constable,HC,11,true
R012,Police Constable,PC,12,true
