UnitID,UnitName,UnitTypeID,StateID,DistrictID,ParentUnitID,Address,ContactNumber,Email,IsActive
U001,Bengaluru Urban Town PS,UT001,ST001,DIS001,,"Bengaluru Urban Town PS, Bengaluru Urban, Karnataka",08022943000,u001@ksp.gov.in,true
U002,Bengaluru Urban Central PS,UT001,ST001,DIS001,,"Bengaluru Urban Central PS, Bengaluru Urban, Karnataka",08022943000,u002@ksp.gov.in,true
U003,Bengaluru Urban Cyber Crime PS,UT001,ST001,DIS001,,"Bengaluru Urban Cyber Crime PS, Bengaluru Urban, Karnataka",08022943000,u003@ksp.gov.in,true
U004,Bengaluru Urban Traffic PS,UT001,ST001,DIS001,,"Bengaluru Urban Traffic PS, Bengaluru Urban, Karnataka",08022943000,u004@ksp.gov.in,true
U005,Cubbon Park Police Station,UT001,ST001,DIS001,,"Cubbon Park Police Station, Bengaluru Urban, Karnataka",08022943000,u005@ksp.gov.in,true
U006,Whitefield Police Station,UT001,ST001,DIS001,,"Whitefield Police Station, Bengaluru Urban, Karnataka",08022943000,u006@ksp.gov.in,true
U007,Indiranagar Police Station,UT001,ST001,DIS001,,"Indiranagar Police Station, Bengaluru Urban, Karnataka",08022943000,u007@ksp.gov.in,true
U008,Electronic City Police Station,UT001,ST001,DIS001,,"Electronic City Police Station, Bengaluru Urban, Karnataka",08022943000,u008@ksp.gov.in,true
U009,Jayanagar Police Station,UT001,ST001,DIS001,,"Jayanagar Police Station, Bengaluru Urban, Karnataka",08022943000,u009@ksp.gov.in,true
U010,Bengaluru Rural Town PS,UT001,ST001,DIS002,,"Bengaluru Rural Town PS, Bengaluru Rural, Karnataka",08022943000,u010@ksp.gov.in,true
U011,Bengaluru Rural Central PS,UT001,ST001,DIS002,,"Bengaluru Rural Central PS, Bengaluru Rural, Karnataka",08022943000,u011@ksp.gov.in,true
U012,Bengaluru Rural Cyber Crime PS,UT001,ST001,DIS002,,"Bengaluru Rural Cyber Crime PS, Bengaluru Rural, Karnataka",08022943000,u012@ksp.gov.in,true
U013,Bengaluru Rural Traffic PS,UT001,ST001,DIS002,,"Bengaluru Rural Traffic PS, Bengaluru Rural, Karnataka",08022943000,u013@ksp.gov.in,true
U014,Ramanagara Town PS,UT001,ST001,DIS003,,"Ramanagara Town PS, Ramanagara, Karnataka",08022943000,u014@ksp.gov.in,true
U015,Ramanagara Central PS,UT001,ST001,DIS003,,"Ramanagara Central PS, Ramanagara, Karnataka",08022943000,u015@ksp.gov.in,true
U016,Ramanagara Cyber Crime PS,UT001,ST001,DIS003,,"Ramanagara Cyber Crime PS, Ramanagara, Karnataka",08022943000,u016@ksp.gov.in,true
U017,Ramanagara Traffic PS,UT001,ST001,DIS003,,"Ramanagara Traffic PS, Ramanagara, Karnataka",08022943000,u017@ksp.gov.in,true
U018,Chikkaballapura Town PS,UT001,ST001,DIS004,,"Chikkaballapura Town PS, Chikkaballapura, Karnataka",08022943000,u018@ksp.gov.in,true
U019,Chikkaballapura Central PS,UT001,ST001,DIS004,,"Chikkaballapura Central PS, Chikkaballapura, Karnataka",08022943000,u019@ksp.gov.in,true
U020,Chikkaballapura Cyber Crime PS,UT001,ST001,DIS004,,"Chikkaballapura Cyber Crime PS, Chikkaballapura, Karnataka",08022943000,u020@ksp.gov.in,true
U021,Chikkaballapura Traffic PS,UT001,ST001,DIS004,,"Chikkaballapura Traffic PS, Chikkaballapura, Karnataka",08022943000,u021@ksp.gov.in,true
U022,Kolar Town PS,UT001,ST001,DIS005,,"Kolar Town PS, Kolar, Karnataka",08022943000,u022@ksp.gov.in,true
U023,Kolar Central PS,UT001,ST001,DIS005,,"Kolar Central PS, Kolar, Karnataka",08022943000,u023@ksp.gov.in,true
U024,Kolar Cyber Crime PS,UT001,ST001,DIS005,,"Kolar Cyber Crime PS, Kolar, Karnataka",08022943000,u024@ksp.gov.in,true
U025,Kolar Traffic PS,UT001,ST001,DIS005,,"Kolar Traffic PS, Kolar, Karnataka",08022943000,u025@ksp.gov.in,true
U026,Tumakuru Town PS,UT001,ST001,DIS006,,"Tumakuru Town PS, Tumakuru, Karnataka",08022943000,u026@ksp.gov.in,true
U027,Tumakuru Central PS,UT001,ST001,DIS006,,"Tumakuru Central PS, Tumakuru, Karnataka",08022943000,u027@ksp.gov.in,true
U028,Tumakuru Cyber Crime PS,UT001,ST001,DIS006,,"Tumakuru Cyber Crime PS, Tumakuru, Karnataka",08022943000,u028@ksp.gov.in,true
U029,Tumakuru Traffic PS,UT001,ST001,DIS006,,"Tumakuru Traffic PS, Tumakuru, Karnataka",08022943000,u029@ksp.gov.in,true
U030,Shivamogga Town PS,UT001,ST001,DIS007,,"Shivamogga Town PS, Shivamogga, Karnataka",08022943000,u030@ksp.gov.in,true
U031,Shivamogga Central PS,UT001,ST001,DIS007,,"Shivamogga Central PS, Shivamogga, Karnataka",08022943000,u031@ksp.gov.in,true
U032,Shivamogga Cyber Crime PS,UT001,ST001,DIS007,,"Shivamogga Cyber Crime PS, Shivamogga, Karnataka",08022943000,u032@ksp.gov.in,true
U033,Shivamogga Traffic PS,UT001,ST001,DIS007,,"Shivamogga Traffic PS, Shivamogga, Karnataka",08022943000,u033@ksp.gov.in,true
U034,Chitradurga Town PS,UT001,ST001,DIS008,,"Chitradurga Town PS, Chitradurga, Karnataka",08022943000,u034@ksp.gov.in,true
U035,Chitradurga Central PS,UT001,ST001,DIS008,,"Chitradurga Central PS, Chitradurga, Karnataka",08022943000,u035@ksp.gov.in,true
U036,Chitradurga Cyber Crime PS,UT001,ST001,DIS008,,"Chitradurga Cyber Crime PS, Chitradurga, Karnataka",08022943000,u036@ksp.gov.in,true
U037,Chitradurga Traffic PS,UT001,ST001,DIS008,,"Chitradurga Traffic PS, Chitradurga, Karnataka",08022943000,u037@ksp.gov.in,true
