CrimeNumber,CrimeRegisteredDate,BriefFacts,CaseStatus,CrimeMajorHead,CrimeMinorHead,PoliceStation,District,Latitude,Longitude,CaseStatusID,CategoryID,GravityID,CrimeHeadID,CrimeSubHeadID,UnitID,DistrictID,OfficerID
KSP/DIS001/2026/00001,2026-02-02,"Murder reported at Bengaluru Urban Town PS, Bengaluru Urban. Brief: Premeditated homicide investigation. Incident occurred near Bengaluru Urban Town PS, Bengaluru Urban, Karnataka.",Under Investigation,Violent Crime,Murder,Bengaluru Urban Town PS,Bengaluru Urban,12.9226,77.5456,CS001,CAT001,GR001,CH001,CSH001,U001,DIS001,OFF001
KSP/DIS002/2026/00002,2026-03-03,"Attempt to Murder reported at Bengaluru Rural Central PS, Bengaluru Rural. Brief: Violent assault with deadly weapon. Incident occurred near Bengaluru Rural Central PS, Bengaluru Rural, Karnataka.",Charge Sheeted,Violent Crime,Attempt to Murder,Bengaluru Rural Central PS,Bengaluru Rural,13.1897,77.5390,CS002,CAT002,GR002,CH001,CSH002,U011,DIS002,OFF027
KSP/DIS003/2026/00003,2026-04-04,"Assault & Grievous Hurt reported at Ramanagara Cyber Crime PS, Ramanagara. Brief: Physical injury caused during gang/group clash. Incident occurred near Ramanagara Cyber Crime PS, Ramanagara, Karnataka.",Pending Trial,Violent Crime,Assault & Grievous Hurt,Ramanagara Cyber Crime PS,Ramanagara,12.6929,77.2582,CS003,CAT003,GR003,CH001,CSH003,U016,DIS003,OFF043
KSP/DIS004/2026/00004,2026-05-05,"Kidnapping reported at Chikkaballapura Traffic PS, Chikkaballapura. Brief: Abduction for ransom or coercion. Incident occurred near Chikkaballapura Traffic PS, Chikkaballapura, Karnataka.",Convicted,Violent Crime,Kidnapping,Chikkaballapura Traffic PS,Chikkaballapura,13.4255,77.7215,CS004,CAT004,GR004,CH001,CSH004,U021,DIS004,OFF059
KSP/DIS005/2026/00005,2026-06-06,"Missing Person reported at Kolar Town PS, Kolar. Brief: Trace & locate missing citizen petition. Incident occurred near Kolar Town PS, Kolar, Karnataka.",Acquitted,Violent Crime,Missing Person,Kolar Town PS,Kolar,13.0917,78.0841,CS005,CAT001,GR005,CH001,CSH005,U022,DIS005,OFF075
KSP/DIS006/2026/00006,2026-07-07,"Theft reported at Tumakuru Central PS, Tumakuru. Brief: Larceny of personal or commercial goods. Incident occurred near Tumakuru Central PS, Tumakuru, Karnataka.",Closed / Undetected,Property Crime,Theft,Tumakuru Central PS,Tumakuru,13.3072,77.0695,CS006,CAT002,GR001,CH002,CSH006,U027,DIS006,OFF091
KSP/DIS007/2026/00007,2026-08-08,"Vehicle Theft reported at Shivamogga Cyber Crime PS, Shivamogga. Brief: Stolen motor vehicle or two-wheeler. Incident occurred near Shivamogga Cyber Crime PS, Shivamogga, Karnataka.",Under Investigation,Vehicle Theft,Vehicle Theft,Shivamogga Cyber Crime PS,Shivamogga,13.9109,75.5491,CS001,CAT003,GR002,CH003,CSH007,U032,DIS007,OFF107
KSP/DIS008/2026/00008,2026-09-09,"Burglary reported at Chitradurga Traffic PS, Chitradurga. Brief: Overnight trespass and property theft. Incident occurred near Chitradurga Traffic PS, Chitradurga, Karnataka.",Charge Sheeted,Property Crime,Burglary,Chitradurga Traffic PS,Chitradurga,14.2191,76.3920,CS002,CAT004,GR003,CH002,CSH008,U037,DIS008,OFF123
KSP/DIS009/2026/00009,2026-10-10,"Robbery reported at Davanagere Town PS, Davanagere. Brief: Armed robbery using force or coercion. Incident occurred near Davanagere Town PS, Davanagere, Karnataka.",Pending Trial,Property Crime,Robbery,Davanagere Town PS,Davanagere,14.4234,75.8808,CS003,CAT001,GR004,CH002,CSH009,U038,DIS009,OFF139
KSP/DIS010/2026/00010,2026-11-11,"Chain Snatching reported at Mysuru Central PS, Mysuru. Brief: Snatching jewelry from pedestrians on public road. Incident occurred near Mysuru Central PS, Mysuru, Karnataka.",Convicted,Property Crime,Chain Snatching,Mysuru Central PS,Mysuru,12.2678,76.6114,CS004,CAT002,GR005,CH002,CSH010,U043,DIS010,OFF155
