AccessID,GrantedByOfficerID,GrantedToOfficerID,CaseID,DistrictID,PermissionType,Reason,GrantedAt,ExpiresAt,Status,CreatedAt
EA001,OFF001,OFF010,CASE001,,READ,Special CID Investigation,2026-07-25T09:00:00,2026-07-30T18:00:00,Active,2026-07-25T09:00:00
EA002,OFF002,OFF011,,DIST002,FULL,Inter-District Coordination,2026-07-25T10:30:00,2026-08-05T18:00:00,Active,2026-07-25T10:30:00
EA003,OFF003,OFF012,CASE018,,READ,Cyber Crime Assistance,2026-07-26T08:45:00,2026-07-31T18:00:00,Active,2026-07-26T08:45:00
EA004,OFF004,OFF013,,DIST004,READ,Joint Investigation Team,2026-07-26T11:00:00,2026-08-10T18:00:00,Active,2026-07-26T11:00:00
EA005,OFF005,OFF014,CASE025,,FULL,High Priority Murder Investigation,2026-07-27T09:15:00,2026-08-03T18:00:00,Active,2026-07-27T09:15:00
EA006,OFF006,OFF015,,DIST006,READ,Narcotics Intelligence Sharing,2026-07-27T14:20:00,2026-08-02T18:00:00,Expired,2026-07-27T14:20:00
EA007,OFF007,OFF016,CASE042,,READ,Financial Fraud Investigation,2026-07-28T10:10:00,2026-08-04T18:00:00,Revoked,2026-07-28T10:10:00
EA008,OFF008,OFF017,,DIST008,FULL,State Crime Branch Support,2026-07-28T15:40:00,2026-08-12T18:00:00,Active,2026-07-28T15:40:00
EA009,OFF009,OFF018,CASE056,,READ,Missing Person Investigation,2026-07-29T09:50:00,2026-08-06T18:00:00,Active,2026-07-29T09:50:00
EA010,OFF010,OFF019,,DIST010,FULL,Organized Crime Task Force,2026-07-29T13:25:00,2026-08-15T18:00:00,Active,2026-07-29T13:25:00
