SectionID,ActID,SectionCode,Description
SEC001,ACT001,IPC 302 / BNS 101,Punishment for murder
SEC002,ACT001,IPC 307 / BNS 109,Attempt to murder
SEC003,ACT001,IPC 379 / BNS 303,Punishment for theft
SEC004,ACT001,IPC 392 / BNS 309,Punishment for robbery
SEC005,ACT001,IPC 457 / BNS 331,Lurking house-trespass or house-breaking by night
SEC006,ACT001,IPC 420 / BNS 318,Cheating and dishonestly inducing delivery of property
SEC007,ACT002,IT Act Sec 66D,Punishment for cheating by personation by using computer resource
SEC008,ACT002,IT Act Sec 66C,Punishment for identity theft
SEC009,ACT003,NDPS Sec 20(b),Possession or trafficking of commercial quantity cannabis/drugs
SEC010,ACT004,Arms Act Sec 25,Punishment for possession of unlicensed firearm
SEC011,ACT005,POCSO Sec 4,Punishment for penetrative sexual assault on minor
SEC012,ACT001,IPC 498A / BNS 85,Husband or relative of husband subjecting woman to cruelty
SEC013,ACT001,IPC 363 / BNS 137,Punishment for kidnapping
SEC014,ACT001,IPC 279 / BNS 281,Rash driving or riding on a public way
SEC015,ACT006,UAPA Sec 18,Punishment for conspiring or preparing terror act
